Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,CR_Old_Grp_R_Bool.thisRepN,CR_Old_Grp_R_Bool.thisTrialN,CR_Old_Grp_R_Bool.thisN,CR_Old_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Old_Text_Ctx2.started,Instr_CR_Old_Text_Ctx2.stopped,Instr_CR_Old_Press_Ctx2.keys,Instr_CR_Old_Press_Ctx2.rt,Instr_CR_Old_Press_Ctx2.started,Instr_CR_Old_Press_Ctx2.stopped,Instr_RT_text.started,Instr_RT_text.stopped,Instr_RT_key_resp.keys,Instr_RT_key_resp.rt,Instr_RT_key_resp.started,Instr_RT_key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,CR_Old,0,0,0.644328098620228,1,1,,,,,,,,,,,,,54.242285300046206,None,54.242285300046206,None,54.55943290004507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.233732799999416,None,h,7.849049099953845,44.233732799999416,None,media/djnb.png,1,0,0,52.10780739993788,52.10780739993788,52.10780739993788,None,52.10780739993788,None,h,1,2.0312934999819845,52.10780739993788,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,CR_Old,0,1,1.0983008262135217,1,1,,,,,,,,,,,,,55.510321399895474,None,55.510321399895474,None,56.53118270006962,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,0,0,54.7792811000254,54.7792811000254,54.7792811000254,None,54.7792811000254,None,i,0,0.671754099894315,54.7792811000254,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,CR_Old,0,1,0.5185217607879882,1,1,,,,,,,,,,,,,57.1131559999194,None,57.1131559999194,None,58.13528809999116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,1,0,56.74298160010949,56.74298160010949,56.74298160010949,None,56.74298160010949,None,l,0,0.30770849995315075,56.74298160010949,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,CR_Old,0,1,0.7345103269411082,1,1,,,,,,,,,,,,,58.94638470001519,None,58.94638470001519,None,59.262926399940625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,2,0,58.359976599924266,58.359976599924266,58.359976599924266,None,58.359976599924266,None,u,1,0.5228985999710858,58.359976599924266,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,CR_Old,0,2,0.3661988913791452,1,1,,,,,,,,,,,,,60.530472399899736,None,60.530472399899736,None,60.85236899997108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,1,0,0,59.48285980010405,59.48285980010405,59.48285980010405,None,59.48285980010405,None,h,1,0.9775721000041813,59.48285980010405,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,3,0.292422322615685,1,1,,,,,,,,,,,,,62.14141199993901,None,62.14141199993901,None,63.15862419991754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,0,61.07605560007505,61.07605560007505,61.07605560007505,None,61.07605560007505,None,i,0,1.006755999987945,61.07605560007505,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,3,0.9640239592729067,1,1,,,,,,,,,,,,,63.77745880000293,None,63.77745880000293,None,64.10118909995072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,1,0,63.39695700001903,63.39695700001903,63.39695700001903,None,63.39695700001903,None,l,1,0.3096858998760581,63.39695700001903,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,i,CR_Old,0,4,0.8438781648661098,1,1,,,,,,,,,,,,,64.88408309989609,None,64.88408309989609,None,65.19433160009794,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,0,0,64.31020099995658,64.31020099995658,64.31020099995658,None,64.31020099995658,None,i,1,0.5085046000313014,64.31020099995658,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,5,1.2264310724080252,1,1,,,,,,,,,,,,,66.09656219999306,None,66.09656219999306,None,66.40869439998642,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,0,65.42749239993282,65.42749239993282,65.42749239993282,None,65.42749239993282,None,l,1,0.5993015000130981,65.42749239993282,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,CR_Old,0,6,1.1924140549634987,1,1,,,,,,,,,,,,,67.28645200002939,None,67.28645200002939,None,67.62449779990129,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,0,0,66.6373141000513,66.6373141000513,66.6373141000513,None,66.6373141000513,None,u,1,0.5821301999967545,66.6373141000513,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,i,CR_Old,0,7,0.9318383869365847,1,1,,,,,,,,,,,,,68.46144680003636,None,68.46144680003636,None,68.78609580011107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,0,0,67.87733389995992,67.87733389995992,67.87733389995992,None,67.87733389995992,None,i,1,0.5093720001168549,67.87733389995992,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,8,0.708254613923234,1,1,,,,,,,,,,,,,70.21700139995664,None,70.21700139995664,None,70.53115799999796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,0,69.01303340005688,69.01303340005688,69.01303340005688,None,69.01303340005688,None,l,1,1.1343572000041604,69.01303340005688,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,CR_Old,0,9,0.08963163011696218,1,1,,,,,,,,,,,,,71.81723070004955,None,71.81723070004955,None,72.825630400097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,1,0,0,70.74404789996333,70.74404789996333,70.74404789996333,None,70.74404789996333,None,i,0,0.9945294999051839,70.74404789996333,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,CR_Old,0,9,0.05802251009078763,1,1,,,,,,,,,,,,,73.52471320005134,None,73.52471320005134,None,73.85776999988593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,1,1,0,73.05565729993396,73.05565729993396,73.05565729993396,None,73.05565729993396,None,h,1,0.37122120009735227,73.05565729993396,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,l,CR_Old,0,10,0.5033182362265083,1,1,,,,,,,,,,,,,75.20408879988827,None,75.20408879988827,None,75.54657040000893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,0,74.0860709999688,74.0860709999688,74.0860709999688,None,74.0860709999688,None,l,1,1.0458236001431942,74.0860709999688,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,i,CR_Old,0,11,0.016105784930710465,1,1,,,,,,,,,,,,,77.34596140007488,None,77.34596140007488,None,77.67724319989793,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,0,0,75.76465380005538,75.76465380005538,75.76465380005538,None,75.76465380005538,None,i,1,1.518796200165525,75.76465380005538,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,16,0,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,i,CR_Old,0,12,0.28498579918640865,1,1,,,,,,,,,,,,,78.45988820004277,None,78.45988820004277,None,78.7909375000745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,0,0,77.89285559998825,77.89285559998825,77.89285559998825,None,77.89285559998825,None,i,1,0.49373820004984736,77.89285559998825,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,17,0,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,h,CR_Old,0,13,0.6293447312661933,1,1,,,,,,,,,,,,,79.65982690011151,None,79.65982690011151,None,79.99646169994958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,1,0,0,79.0206196999643,79.0206196999643,79.0206196999643,None,79.0206196999643,None,h,1,0.5739968998823315,79.0206196999643,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,18,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,u,CR_Old,0,14,0.6178207495952701,1,1,,,,,,,,,,,,,80.6836697999388,None,80.6836697999388,None,80.99141520005651,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,0,0,80.22048450005241,80.22048450005241,80.22048450005241,None,80.22048450005241,None,u,1,0.3902487000450492,80.22048450005241,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,CR_Old,0,0,0.8806399758124861,1,1,,,,,,,,,,,,,84.62007789989002,None,84.62007789989002,None,85.65598360006697,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,2,0,0,82.43483790010214,82.43483790010214,82.43483790010214,None,82.43483790010214,None,l,0,2.1040061998646706,82.43483790010214,None,81.22090500011109,None,h,1.1656879999209195,81.22090500011109,None,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,CR_Old,0,0,0.24826446452747963,1,1,,,,,,,,,,,,,86.19520450010896,None,86.19520450010896,None,86.51585049997084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,2,1,0,85.87871020007879,85.87871020007879,85.87871020007879,None,85.87871020007879,None,u,1,0.251899000024423,85.87871020007879,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,l,CR_Old,0,1,0.3466646423587436,1,1,,,,,,,,,,,,,87.73351889988407,None,87.73351889988407,None,88.04109609988518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,2,0,0,86.75021969992667,86.75021969992667,86.75021969992667,None,86.75021969992667,None,l,1,0.9084146001841873,86.75021969992667,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,l,CR_Old,0,2,0.9781770681774742,1,1,,,,,,,,,,,,,88.87176960008219,None,88.87176960008219,None,89.19986360007897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,2,0,0,88.2633247000631,88.2633247000631,88.2633247000631,None,88.2633247000631,None,l,1,0.5392112000845373,88.2633247000631,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,u,CR_Old,0,3,0.527141427967708,1,1,,,,,,,,,,,,,90.14724149997346,None,90.14724149997346,None,90.45932770008221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,2,0,0,89.41346579999663,89.41346579999663,89.41346579999663,None,89.41346579999663,None,u,1,0.6616386000532657,89.41346579999663,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,h,CR_Old,0,4,0.1973274536745837,1,1,,,,,,,,,,,,,91.11060409992933,None,91.11060409992933,None,91.42521209991537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,2,0,0,90.6787258000113,90.6787258000113,90.6787258000113,None,90.6787258000113,None,h,1,0.34809450013563037,90.6787258000113,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,CR_Old,0,5,0.7308518272702473,1,1,,,,,,,,,,,,,92.09458309994079,None,92.09458309994079,None,92.41086430009454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,2,0,0,91.64319609990343,91.64319609990343,91.64319609990343,None,91.64319609990343,None,i,1,0.3834702998865396,91.64319609990343,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,h,CR_Old,0,6,0.5615233399708786,1,1,,,,,,,,,,,,,93.283882800024,None,93.283882800024,None,93.59158949996345,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,2,0,0,92.63024519989267,92.63024519989267,92.63024519989267,None,92.63024519989267,None,h,1,0.5895558998454362,92.63024519989267,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,CR_Old,0,7,0.40273685263021397,1,1,,,,,,,,,,,,,94.23619160009548,None,94.23619160009548,None,94.57998910010792,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,2,0,0,93.81098029995337,93.81098029995337,93.81098029995337,None,93.81098029995337,None,i,1,0.33600819995626807,93.81098029995337,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,h,CR_Old,0,8,0.4321278946557152,1,1,,,,,,,,,,,,,95.911553400103,None,95.911553400103,None,96.24949449999258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,2,0,0,94.79489509994164,94.79489509994164,94.79489509994164,None,94.79489509994164,None,h,1,1.0475993999280035,94.79489509994164,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,i,CR_Old,0,9,1.2669417101264422,1,1,,,,,,,,,,,,,97.30812190007418,None,97.30812190007418,None,97.65028749988414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,2,0,0,96.46005049999803,96.46005049999803,96.46005049999803,None,96.46005049999803,None,i,1,0.7669287999160588,96.46005049999803,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,l,CR_Old,0,10,0.7633013836741254,1,1,,,,,,,,,,,,,98.62949359999038,None,98.62949359999038,None,98.94198150001466,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,2,0,0,97.86077850009315,97.86077850009315,97.86077850009315,None,97.86077850009315,None,l,1,0.6777919000014663,97.86077850009315,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,h,CR_Old,0,11,0.6852053481500129,1,1,,,,,,,,,,,,,100.01196320005693,None,100.01196320005693,None,100.34347359999083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,2,0,0,99.16106970002875,99.16106970002875,99.16106970002875,None,99.16106970002875,None,h,1,0.7780424000229686,99.16106970002875,None,,,,,,,,,,,,,1,001,2020_Dec_04_0105,Context_Learning_new,2020.1.3,59.94186833817558,
