Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,CR_Old_Grp_R_Bool.thisRepN,CR_Old_Grp_R_Bool.thisTrialN,CR_Old_Grp_R_Bool.thisN,CR_Old_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,ctx,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Text_Ctx2.started,Instr_CR_Text_Ctx2.stopped,Instr_CR_Press_Ctx2.keys,Instr_CR_Press_Ctx2.rt,Instr_CR_Press_Ctx2.started,Instr_CR_Press_Ctx2.stopped,Instr_RT_Text.started,Instr_RT_Text.stopped,Instr_RT_Press.keys,Instr_RT_Press.rt,Instr_RT_Press.started,Instr_RT_Press.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,Symb,h,CR,0,0,3,1,0,1,1.8,1,,,,,,,,,,,,43.583258299855515,None,43.583258299855515,None,43.914664699928835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,43.16443070000969,43.16443070000969,43.16443070000969,None,43.16443070000969,None,h,1,0.3319158998783678,43.16443070000969,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Symb,l,CR,0,0,4,1,0,1,1.8,1,,,,,,,,,,,,44.93075459985994,None,44.93075459985994,None,45.244242399930954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,44.14469159999862,44.14469159999862,44.14469159999862,None,44.14469159999862,None,l,1,0.7193730000872165,44.14469159999862,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,Symb,h,CR,0,0,5,1,0,1,1.8,1,,,,,,,,,,,,46.163056099787354,None,46.163056099787354,None,46.477006499888375,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,45.485206899931654,45.485206899931654,45.485206899931654,None,45.485206899931654,None,h,1,0.6030227998271585,45.485206899931654,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Symb,i,CR,0,0,6,1,0,1,1.8,1,,,,,,,,,,,,47.231089799897745,None,47.231089799897745,None,47.54934519995004,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,46.703658499987796,46.703658499987796,46.703658499987796,None,46.703658499987796,None,i,1,0.45643190015107393,46.703658499987796,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Symb,u,CR,0,0,7,1,0,1,1.8,1,,,,,,,,,,,,48.13015099987388,None,48.13015099987388,None,48.44584989990108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,47.78550439979881,47.78550439979881,47.78550439979881,None,47.78550439979881,None,u,1,0.2786850999109447,47.78550439979881,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,Symb,i,CR,0,0,0,1,0,1,1.8,1,,,,,,,,,,,,51.168514099903405,None,51.168514099903405,None,52.1910822999198,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,49.24432459985837,49.24432459985837,49.24432459985837,None,49.24432459985837,None,l,0,1.8519562999717891,49.24432459985837,None,48.67330139991827,None,h,0.5272816999349743,48.67330139991827,None,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,Symb,i,CR,0,1,0,1,0,1,1.8,1,,,,,,,,,,,,52.86011719983071,None,52.86011719983071,None,53.18572399998084,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,52.4350347998552,52.4350347998552,52.4350347998552,None,52.4350347998552,None,i,1,0.34109020000323653,52.4350347998552,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Symb,l,CR,0,0,1,1,0,1,1.8,1,,,,,,,,,,,,53.8966480998788,None,53.8966480998788,None,54.22147300001234,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,53.42056889995001,53.42056889995001,53.42056889995001,None,53.42056889995001,None,l,1,0.41139260004274547,53.42056889995001,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Symb,h,CR,0,0,2,1,0,1,1.8,1,,,,,,,,,,,,55.12626829999499,None,55.12626829999499,None,55.463526599807665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,54.44946779985912,54.44946779985912,54.44946779985912,None,54.44946779985912,None,h,1,0.5590268999803811,54.44946779985912,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,Symb,u,CR,0,0,3,1,0,1,1.8,1,,,,,,,,,,,,56.09641379979439,None,56.09641379979439,None,56.420581199927256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,55.691530499840155,55.691530499840155,55.691530499840155,None,55.691530499840155,None,u,1,0.34062350005842745,55.691530499840155,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Symb,l,CR,0,0,4,1,0,1,1.8,1,,,,,,,,,,,,57.24939369992353,None,57.24939369992353,None,57.59269079985097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,56.633584999945015,56.633584999945015,56.633584999945015,None,56.633584999945015,None,l,1,0.5347048998810351,56.633584999945015,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,Symb,u,CR,0,0,5,1,0,1,1.8,1,,,,,,,,,,,,58.61425829981454,None,58.61425829981454,None,58.92871549981646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,57.81820729980245,57.81820729980245,57.81820729980245,None,57.81820729980245,None,u,1,0.7100979001261294,57.81820729980245,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,Symb,i,CR,0,0,6,1,0,1,1.8,1,,,,,,,,,,,,59.67390449997038,None,59.67390449997038,None,60.01337859989144,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,59.166932499967515,59.166932499967515,59.166932499967515,None,59.166932499967515,None,i,1,0.43335739988833666,59.166932499967515,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,8,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Symb,h,CR,0,0,7,1,0,1,1.8,1,,,,,,,,,,,,60.70102529996075,None,60.70102529996075,None,61.02672589989379,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,60.24373019998893,60.24373019998893,60.24373019998893,None,60.24373019998893,None,h,1,0.35692219994962215,60.24373019998893,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,Symb,h,CR,0,0,8,1,0,1,1.8,1,,,,,,,,,,,,62.17230789992027,None,62.17230789992027,None,62.494437999790534,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,61.25291459984146,61.25291459984146,61.25291459984146,None,61.25291459984146,None,h,1,0.8514566000085324,61.25291459984146,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Symb,l,CR,0,0,9,1,0,1,1.8,1,,,,,,,,,,,,63.38086049980484,None,63.38086049980484,None,63.71583939995617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,62.735985399922356,62.735985399922356,62.735985399922356,None,62.735985399922356,None,l,1,0.5684735998511314,62.735985399922356,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,Symb,i,CR,0,0,10,1,0,1,1.8,1,,,,,,,,,,,,64.43927349988371,None,64.43927349988371,None,64.76564190001227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,63.95989099983126,63.95989099983126,63.95989099983126,None,63.95989099983126,None,i,1,0.4081650001462549,63.95989099983126,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,2,1,Symb,u,RT,0,0,0,1,0,1,1.8,1,,,,,,,,,,,,68.78690449986607,None,68.78690449986607,None,69.78696429985575,None,,,,,,,65.76063369982876,None,h,0.5274678999558091,65.76063369982876,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,66.30377130000852,66.30377130000852,66.30377130000852,None,66.30377130000852,None,h,0,2.448551499983296,66.30377130000852,None,,,,,,,64.99291439983062,None,h,0.7115144000854343,64.99291439983062,None,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,0,1,Symb,h,RT,0,0,1,1,0,1,1.8,1,,,,,,,,,,,,70.25377189996652,None,70.25377189996652,None,71.25399130000733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,69.99259799998254,69.99259799998254,69.99259799998254,None,69.99259799998254,None,l,0,0.22423110017552972,69.99259799998254,None,,,,,,,,,,,,,1,1,2020_Dec_04_2216,Context_Learning_Pilot,2020.1.3,58.93224203107524,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,Symb,l,RT,0,0,2,1,0,1,1.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
