Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,ctx,Stim_Type,Finger,Block_Type,Remap,Repeat_Count,Trial_Count,Grp_B,Brp_R,Block_Num,Set_Prep_Time,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.started,TR_Press_Hand.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,TR_Press_Hand.rt,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Text_Ctx2.started,Instr_CR_Text_Ctx2.stopped,Instr_CR_Press_Ctx2.keys,Instr_CR_Press_Ctx2.rt,Instr_CR_Press_Ctx2.started,Instr_CR_Press_Ctx2.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,1,1,Symb,i,CR,0,0,5,1,0,1,1.8,1,,,,,,,,,,,,71.57004929985851,None,71.57004929985851,None,71.88084840006195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,70.87479649996385,70.87479649996385,70.87479649996385,None,70.87479649996385,None,i,1,0.6037539001554251,70.87479649996385,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,8,0,8,0,,,,,,,,,,,,,,,,,,,2,1,Symb,u,CR,0,0,6,1,0,1,1.8,1,,,,,,,,,,,,72.75233479985036,None,72.75233479985036,None,73.06910520000383,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,72.11013139993884,72.11013139993884,72.11013139993884,None,72.11013139993884,None,u,1,0.5523675000295043,72.11013139993884,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,9,0,9,0,,,,,,,,,,,,,,,,,,,1,1,Symb,i,CR,0,0,7,1,0,1,1.8,1,,,,,,,,,,,,74.21307850000449,None,74.21307850000449,None,74.53844189993106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,73.3015193999745,73.3015193999745,73.3015193999745,None,73.3015193999745,None,i,1,0.8245530999265611,73.3015193999745,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,10,0,10,0,,,,,,,,,,,,,,,,,,,0,1,Symb,h,CR,0,0,8,1,0,1,1.8,1,,,,,,,,,,,,75.42273960006423,None,75.42273960006423,None,75.7438797999639,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,74.76234690006822,74.76234690006822,74.76234690006822,None,74.76234690006822,None,h,1,0.5800114998128265,74.76234690006822,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,11,0,11,0,,,,,,,,,,,,,,,,,,,2,1,Symb,u,CR,0,0,9,1,0,1,1.8,1,,,,,,,,,,,,76.7286648999434,None,76.7286648999434,None,77.04637699993327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,75.99186829989776,75.99186829989776,75.99186829989776,None,75.99186829989776,None,u,1,0.6701571000739932,75.99186829989776,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,0,2,Symb,u,CR,0,0,0,1,0,1,1.8,1,,,,,,,,,,,,79.43987699993886,None,79.43987699993886,None,80.49110460001975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,77.9063041000627,77.9063041000627,77.9063041000627,None,77.9063041000627,None,i,0,1.4294602998998016,77.9063041000627,None,77.2825849999208,None,h,0.5726303001865745,77.2825849999208,None,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,0,2,Symb,u,CR,0,1,0,1,0,1,1.8,1,,,,,,,,,,,,81.41559350001626,None,81.41559350001626,None,82.4457469000481,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,80.73131469986401,80.73131469986401,80.73131469986401,None,80.73131469986401,None,l,0,0.6108244000934064,80.73131469986401,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,0,2,Symb,u,CR,0,2,0,1,0,1,1.8,1,,,,,,,,,,,,83.83358959993348,None,83.83358959993348,None,84.16440050001256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,82.68025889992714,82.68025889992714,82.68025889992714,None,82.68025889992714,None,u,1,1.0785293001681566,82.68025889992714,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,3,2,Symb,i,CR,0,0,1,1,0,1,1.8,1,,,,,,,,,,,,88.23029029997997,None,88.23029029997997,None,89.26198709988967,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,84.40886870003305,84.40886870003305,84.40886870003305,None,84.40886870003305,None,h,0,3.749419800005853,84.40886870003305,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,,,,,,,,,,,,,,,3,2,Symb,i,CR,0,1,1,1,0,1,1.8,1,,,,,,,,,,,,89.65333459991962,None,89.65333459991962,None,89.9801398999989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,89.51175689999945,89.51175689999945,89.51175689999945,None,89.51175689999945,None,i,1,0.0388952000066638,89.51175689999945,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,5,0,5,0,,,,,,,,,,,,,,,3,2,Symb,i,CR,0,0,2,1,0,1,1.8,1,,,,,,,,,,,,90.83086410001852,None,90.83086410001852,None,91.14676310005598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,90.22035039984621,90.22035039984621,90.22035039984621,None,90.22035039984621,None,i,1,0.5302079999819398,90.22035039984621,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,6,0,6,0,,,,,,,,,,,,,,,1,2,Symb,h,CR,0,0,3,1,0,1,1.8,1,,,,,,,,,,,,92.41719379997812,None,92.41719379997812,None,92.74603340006433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,91.3939592000097,91.3939592000097,91.3939592000097,None,91.3939592000097,None,h,1,0.9324250998906791,91.3939592000097,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,7,0,7,0,,,,,,,,,,,,,,,1,2,Symb,h,CR,0,0,4,1,0,1,1.8,1,,,,,,,,,,,,93.74927699984983,None,93.74927699984983,None,94.06202459987253,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,92.9870545999147,92.9870545999147,92.9870545999147,None,92.9870545999147,None,h,1,0.6833353999536484,92.9870545999147,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,8,0,8,0,,,,,,,,,,,,,,,2,2,Symb,l,CR,0,0,5,1,0,1,1.8,1,,,,,,,,,,,,94.74818119988777,None,94.74818119988777,None,95.06678029987961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,94.29852309986018,94.29852309986018,94.29852309986018,None,94.29852309986018,None,l,1,0.3795440997928381,94.29852309986018,None,,,,,,,1,1,2020_Dec_05_0146,Context_Learning_Pilot,2020.1.3,59.446281669951865,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,Symb,u,CR,0,0,6,1,0,1,1.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,,,,,,,,,,,,,,,,,,,,,,,,
