Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,CR_Old_Iter_Ctx2.thisRepN,CR_Old_Iter_Ctx2.thisTrialN,CR_Old_Iter_Ctx2.thisN,CR_Old_Iter_Ctx2.thisIndex,CR_Old_Grp_R_Bool.thisRepN,CR_Old_Grp_R_Bool.thisTrialN,CR_Old_Grp_R_Bool.thisN,CR_Old_Grp_R_Bool.thisIndex,RT_Bool.thisRepN,RT_Bool.thisTrialN,RT_Bool.thisN,RT_Bool.thisIndex,RT_Block.thisRepN,RT_Block.thisTrialN,RT_Block.thisN,RT_Block.thisIndex,RT_Iter.thisRepN,RT_Iter.thisTrialN,RT_Iter.thisN,RT_Iter.thisIndex,TR_Old_Bool.thisRepN,TR_Old_Bool.thisTrialN,TR_Old_Bool.thisN,TR_Old_Bool.thisIndex,TR_Old_Block.thisRepN,TR_Old_Block.thisTrialN,TR_Old_Block.thisN,TR_Old_Block.thisIndex,TR_Iter.thisRepN,TR_Iter.thisTrialN,TR_Iter.thisN,TR_Iter.thisIndex,TR_Feedback_Bool.thisRepN,TR_Feedback_Bool.thisTrialN,TR_Feedback_Bool.thisN,TR_Feedback_Bool.thisIndex,TR_Penalty_Bool.thisRepN,TR_Penalty_Bool.thisTrialN,TR_Penalty_Bool.thisN,TR_Penalty_Bool.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Stim_Type,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.rt,TR_Press_Hand.started,TR_Press_Hand.stopped,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,Instr_CR_Text_Ctx2.started,Instr_CR_Text_Ctx2.stopped,Instr_CR_Press_Ctx2.keys,Instr_CR_Press_Ctx2.rt,Instr_CR_Press_Ctx2.started,Instr_CR_Press_Ctx2.stopped,Instr_RT_Text.started,Instr_RT_Text.stopped,Instr_RT_Press.keys,Instr_RT_Press.rt,Instr_RT_Press.started,Instr_RT_Press.stopped,Instr_TR_Old_text.started,Instr_TR_Old_text.stopped,Instr_TR_Old_Press.keys,Instr_TR_Old_Press.rt,Instr_TR_Old_Press.started,Instr_TR_Old_Press.stopped,TR_Circle_Frame.started,TR_Circle_Frame.stopped,TR_Circle.started,TR_Circle.stopped,TR_Ctx.started,TR_Ctx.stopped,TR_Stim_Image.started,TR_Stim_Image.stopped,TR_Press.keys,TR_Press.corr,TR_Press.rt,TR_Press.started,TR_Press.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,4,0.1593638864822955,1,1,0,1,,,,,,,,,,,,,,,,30.302153599914163,None,,,,,,,,,,,,,0,0,28.2918447998818,None,28.2918447998818,None,28.2918447998818,None,29.735464100027457,None,h,0,1.6628880000207573,28.2918447998818,None,29.988505800021812,None,29.988505800021812,None,29.988505800021812,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,5,0.6595152243716105,1,1,0,1,,,,,,,,,,,,,,,,32.602181900059804,None,,,,,,,,,,,,,0,0,30.52715849992819,None,30.52715849992819,None,30.52715849992819,None,31.46906160004437,None,u,1,1.7316783000715077,30.52715849992819,None,32.300377199891955,None,32.300377199891955,None,32.300377199891955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,6,0.8791212470489007,1,1,0,1,,,,,,,,,,,,,,,,34.702093299943954,None,,,,,,,,,,,,,0,0,32.80942149995826,None,32.80942149995826,None,32.80942149995826,None,33.535548500018194,None,l,1,1.5536056000273675,32.80942149995826,None,34.39567289990373,None,34.39567289990373,None,34.39567289990373,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,7,0.7482140451988646,1,1,0,1,,,,,,,,,,,,,,,,36.868811700027436,None,,,,,,,,,,,,,0,0,34.92073859996162,None,34.92073859996162,None,34.92073859996162,None,35.77083579986356,None,h,1,1.5860152000095695,34.92073859996162,None,36.56082360004075,None,36.56082360004075,None,36.56082360004075,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,0,0.48380132690200184,2,1,0,1,,,,,,,,,,,,,,,,39.58893259987235,None,,,,,,,37.08370089996606,None,h,0.54337970004417,37.08370089996606,None,0,0,37.66631249990314,None,37.66631249990314,None,37.66631249990314,None,38.77048579999246,None,u,1,1.585030300077051,37.66631249990314,None,39.27626339998096,None,39.27626339998096,None,39.27626339998096,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,1,0.3814920811600997,2,1,0,1,,,,,,,,,,,,,,,,41.63537519983947,None,,,,,,,,,,,,,0,0,39.810141999972984,None,39.810141999972984,None,39.810141999972984,None,41.03558119991794,None,h,0,1.4804654999170452,39.810141999972984,None,41.32552059995942,None,41.32552059995942,None,41.32552059995942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,2,1.1837566680731448,2,1,0,1,,,,,,,,,,,,,,,,43.802255699876696,None,,,,,,,,,,,,,0,0,41.84375809994526,None,41.84375809994526,None,41.84375809994526,None,42.23838089988567,None,h,1,1.6239686999469995,41.84375809994526,None,43.49716129992157,None,43.49716129992157,None,43.49716129992157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Hand,h,TR,0,3,0.9358989003401481,2,1,0,1,,,,,,,,,,,,,,,,45.903508599847555,None,,,,,,,,,,,,,0,0,44.011421100003645,None,44.011421100003645,None,44.011421100003645,None,44.65239249984734,None,h,1,1.5432589000556618,44.011421100003645,None,45.591684699989855,None,45.591684699989855,None,45.591684699989855,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,4,1.110037981364559,2,1,0,1,,,,,,,,,,,,,,,,47.968777999980375,None,,,,,,,,,,,,,0,0,46.12769460002892,None,46.12769460002892,None,46.12769460002892,None,46.60228840005584,None,l,1,1.5069669999647886,46.12769460002892,None,47.65931289992295,None,47.65931289992295,None,47.65931289992295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,5,0.023402746430243537,2,1,0,1,,,,,,,,,,,,,,,,50.118920899927616,None,,,,,,,,,,,,,0,0,48.17663050000556,None,48.17663050000556,None,48.17663050000556,None,49.753878499846905,None,u,1,1.595048800110817,48.17663050000556,None,49.807925099972636,None,49.807925099972636,None,49.807925099972636,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,6,0.21717545900363322,2,1,0,1,,,,,,,,,,,,,,,,52.3023401000537,None,,,,,,,,,,,,,0,0,50.32905870000832,None,50.32905870000832,None,50.32905870000832,None,51.70207150001079,None,h,0,1.6265687998384237,50.32905870000832,None,51.99520280002616,None,51.99520280002616,None,51.99520280002616,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Hand,l,TR,0,7,1.106318037543523,2,1,0,1,,,,,,,,,,,,,,,,54.46896540001035,None,,,,,,,,,,,,,0,0,52.51035869983025,None,52.51035869983025,None,52.51035869983025,None,52.98565909988247,None,l,1,1.6127758000511676,52.51035869983025,None,54.15513539989479,None,54.15513539989479,None,54.15513539989479,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Symb,l,CR,0,0,1.8,1,1,,1,,,,,,,,,,,,56.53571769990958,None,56.53571769990958,None,56.85782629996538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.70649699983187,None,h,0.8724121998529881,54.70649699983187,None,media/ddnb.png,1,0,0,55.610034100012854,55.610034100012854,55.610034100012854,None,55.610034100012854,None,l,1,0.8565692000556737,55.610034100012854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Symb,l,CR,0,1,1.8,1,1,,1,,,,,,,,,,,,57.65038440003991,None,57.65038440003991,None,57.96087019983679,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,1,0,0,57.078237199923024,57.078237199923024,57.078237199923024,None,57.078237199923024,None,l,1,0.5003144999500364,57.078237199923024,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Symb,u,CR,0,2,1.8,1,1,,1,,,,,,,,,,,,60.14310540002771,None,60.14310540002771,None,60.49125529988669,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,0,0,58.19232429983094,58.19232429983094,58.19232429983094,None,58.19232429983094,None,u,1,1.875313499942422,58.19232429983094,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symb,h,CR,0,3,1.8,1,1,,1,,,,,,,,,,,,61.49861479992978,None,61.49861479992978,None,61.81088080001064,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,1,0,0,60.73543170001358,60.73543170001358,60.73543170001358,None,60.73543170001358,None,h,1,0.7007799001876265,60.73543170001358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Symb,u,CR,0,4,1.8,1,1,,1,,,,,,,,,,,,62.743394599994645,None,62.743394599994645,None,63.069196299882606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,1,0,0,62.03839310002513,62.03839310002513,62.03839310002513,None,62.03839310002513,None,u,1,0.6126914999913424,62.03839310002513,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symb,h,CR,0,5,1.8,1,1,,1,,,,,,,,,,,,63.82537249987945,None,63.82537249987945,None,64.14438769989647,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,1,0,0,63.284734699875116,63.284734699875116,63.284734699875116,None,63.284734699875116,None,h,1,0.4538559000939131,63.284734699875116,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Symb,i,CR,0,6,1.8,1,1,,1,,,,,,,,,,,,64.76640910003334,None,64.76640910003334,None,65.09531669993885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,0,0,64.38083549984731,64.38083549984731,64.38083549984731,None,64.38083549984731,None,i,1,0.31791210011579096,64.38083549984731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Symb,i,CR,0,7,1.8,1,1,,1,,,,,,,,,,,,65.77545229997486,None,65.77545229997486,None,66.09451439999975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,0,0,65.32080059987493,65.32080059987493,65.32080059987493,None,65.32080059987493,None,i,1,0.36991250002756715,65.32080059987493,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Symb,h,CR,0,0,1.8,1,1,,1,,,,,,,,,,,,69.46646649995819,None,69.46646649995819,None,69.78570039989427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,2,0,0,67.127325899899,67.127325899899,67.127325899899,None,67.127325899899,None,h,1,2.2756890999153256,67.127325899899,None,66.32818889990449,None,h,0.7704950000625104,66.32818889990449,None,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Symb,l,CR,0,1,1.8,1,1,,1,,,,,,,,,,,,74.66422369983047,None,74.66422369983047,None,74.986299399985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dinb.png,2,0,0,69.99591679987498,69.99591679987498,69.99591679987498,None,69.99591679987498,None,l,1,4.6070038001053035,69.99591679987498,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symb,u,CR,0,2,1.8,1,1,,1,,,,,,,,,,,,76.59871679986827,None,76.59871679986827,None,76.9113959998358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,2,0,0,75.19585989997722,75.19585989997722,75.19585989997722,None,75.19585989997722,None,u,1,1.3352374997921288,75.19585989997722,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Symb,u,CR,0,3,1.8,1,1,,1,,,,,,,,,,,,77.73991229990497,None,77.73991229990497,None,78.06766010005958,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/djnb.png,2,0,0,77.14782139984891,77.14782139984891,77.14782139984891,None,77.14782139984891,None,u,1,0.4950937000103295,77.14782139984891,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Symb,h,CR,0,4,1.8,1,1,,1,,,,,,,,,,,,78.74723979993723,None,78.74723979993723,None,79.06914399983361,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,2,0,0,78.27792519982904,78.27792519982904,78.27792519982904,None,78.27792519982904,None,h,1,0.40502610011026263,78.27792519982904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,Symb,i,CR,0,5,1.8,1,1,,1,,,,,,,,,,,,79.76465229992755,None,79.76465229992755,None,80.0910630999133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/ddnb.png,2,0,0,79.28318309993483,79.28318309993483,79.28318309993483,None,79.28318309993483,None,i,1,0.41660739993676543,79.28318309993483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1945,Context_Learning_new,2020.1.3,60.01118611437832,
