Stim,CorrResp,Ctx_color,imStim,imStim_r,imStim_g,x_pos,y_pos,Hand,Feedback,Import_Stim.thisRepN,Import_Stim.thisTrialN,Import_Stim.thisN,Import_Stim.thisIndex,Instr_Exp_Bool.thisRepN,Instr_Exp_Bool.thisTrialN,Instr_Exp_Bool.thisN,Instr_Exp_Bool.thisIndex,RT_Bool_Hand.thisRepN,RT_Bool_Hand.thisTrialN,RT_Bool_Hand.thisN,RT_Bool_Hand.thisIndex,RT_Iter_Hand.thisRepN,RT_Iter_Hand.thisTrialN,RT_Iter_Hand.thisN,RT_Iter_Hand.thisIndex,TR_Bool_Hand.thisRepN,TR_Bool_Hand.thisTrialN,TR_Bool_Hand.thisN,TR_Bool_Hand.thisIndex,TR_Block_Hand.thisRepN,TR_Block_Hand.thisTrialN,TR_Block_Hand.thisN,TR_Block_Hand.thisIndex,TR_Iter_Hand.thisRepN,TR_Iter_Hand.thisTrialN,TR_Iter_Hand.thisN,TR_Iter_Hand.thisIndex,TR_Feedback_Bool_Hand.thisRepN,TR_Feedback_Bool_Hand.thisTrialN,TR_Feedback_Bool_Hand.thisN,TR_Feedback_Bool_Hand.thisIndex,TR_Penalty_Bool_Hand.thisRepN,TR_Penalty_Bool_Hand.thisTrialN,TR_Penalty_Bool_Hand.thisN,TR_Penalty_Bool_Hand.thisIndex,CR_Old_Bool.thisRepN,CR_Old_Bool.thisTrialN,CR_Old_Bool.thisN,CR_Old_Bool.thisIndex,CR_Old_Grp_B_Bool.thisRepN,CR_Old_Grp_B_Bool.thisTrialN,CR_Old_Grp_B_Bool.thisN,CR_Old_Grp_B_Bool.thisIndex,CR_Old_Iter_Ctx1.thisRepN,CR_Old_Iter_Ctx1.thisTrialN,CR_Old_Iter_Ctx1.thisN,CR_Old_Iter_Ctx1.thisIndex,stim_key_map_ctx1,stim_key_map_ctx2,Instr_Exp_Text.started,Instr_Exp_Text.stopped,Instr_Exp_Key.keys,Instr_Exp_Key.rt,Instr_Exp_Key.started,Instr_Exp_Key.stopped,Instr_RT_Hand_Rext.started,Instr_RT_Hand_Rext.stopped,Instr_RT_Hand_Key.keys,Instr_RT_Hand_Key.rt,Instr_RT_Hand_Key.started,Instr_RT_Hand_Key.stopped,Symbol,Stim_Type,Finger,Block_Type,Remap,Trial_Count,Set_Prep_Time,Block_Num,Grp_B,Grp_R,Day,RT_Circle_Frame_Hand.started,RT_Circle_Frame_Hand.stopped,RT_Press_Hand.keys,RT_Press_Hand.corr,RT_Press_Hand.rt,RT_Press_Hand.started,RT_Press_Hand.stopped,RT_HandShape.started,RT_HandShape.stopped,RT_Stim_Hand.started,RT_Stim_Hand.stopped,RT_Circle_Frame_Feedback.started,RT_Circle_Frame_Feedback.stopped,RT_Feedback_Image.started,RT_Feedback_Image.stopped,Post_Trial_Circle_Frame.started,Post_Trial_Circle_Frame.stopped,instr_HAND_TR_text.started,instr_HAND_TR_text.stopped,Instr_HAND_TR_press.keys,Instr_HAND_TR_press.rt,Instr_HAND_TR_press.started,Instr_HAND_TR_press.stopped,Instr_Block_Num_Text.started,Instr_Block_Num_Text.stopped,Instr_Block_Num_Press.keys,Instr_Block_Num_Press.rt,Instr_Block_Num_Press.started,Instr_Block_Num_Press.stopped,TR_too_early,TR_too_late,TR_Circle_Hand.started,TR_Circle_Hand.stopped,TR_Circle_Frame_Hand.started,TR_Circle_Frame_Hand.stopped,TR_HandShape.started,TR_HandShape.stopped,TR_Stim_Hand.started,TR_Stim_Hand.stopped,TR_Press_Hand.keys,TR_Press_Hand.corr,TR_Press_Hand.started,TR_Press_Hand.stopped,TR_Circle_Frame_Penalty.started,TR_Circle_Frame_Penalty.stopped,TR_Penalty_Text.started,TR_Penalty_Text.stopped,TR_Penalty_Press.keys,TR_Penalty_Press.rt,TR_Penalty_Press.started,TR_Penalty_Press.stopped,TR_Press_Hand.rt,Tr_Circle_Frame_Feedback.started,Tr_Circle_Frame_Feedback.stopped,TR_Feedback_Text.started,TR_Feedback_Text.stopped,TR_Feedback_Image.started,TR_Feedback_Image.stopped,Instr_CR_Old_Text_Ctx1.started,Instr_CR_Old_Text_Ctx1.stopped,Instr_CR_Old_Press_Ctx1.keys,Instr_CR_Old_Press_Ctx1.rt,Instr_CR_Old_Press_Ctx1.started,Instr_CR_Old_Press_Ctx1.stopped,Shape,ctx,Repeat_Count,Brp_R,RT_Circle_Fame.started,RT_Circle_Fame.stopped,RT_Ctx.started,RT_Ctx.stopped,RT_Stim_Image.started,RT_Stim_Image.stopped,RT_Press.keys,RT_Press.corr,RT_Press.rt,RT_Press.started,RT_Press.stopped,participant,day,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,6,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Hand,i,TR,0,6,1.1564115407196238,2,1,0,1,,,,,,,,,,,,,,,,64.81940480018966,None,,,,,,,,,,,,,0,0,62.894478500122204,None,62.894478500122204,None,62.894478500122204,None,63.33771560015157,None,i,1,62.894478500122204,None,,,,,,,,,1.5773316000122577,64.518195200013,None,64.518195200013,None,64.518195200013,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,7,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Hand,u,TR,0,7,0.32120711755059816,2,1,0,1,,,,,,,,,,,,,,,,66.95292760012671,None,,,,,,,,,,,,,0,0,65.02895020018332,None,65.02895020018332,None,65.02895020018332,None,66.28618660010397,None,l,0,65.02895020018332,None,,,,,,,,,1.5869714999571443,66.64178010006435,None,66.64178010006435,None,66.64178010006435,None,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,1,Symb,i,CR,0,0,0.12424092503962259,1,1,,1,,,,,,,,,,,,70.82166570005938,None,70.82166570005938,None,71.86156500014476,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.17715140013024,None,h,1.030928600113839,67.17715140013024,None,media/dnnb.png,1,0,0,68.2514802000951,68.2514802000951,68.2514802000951,None,69.72052670014091,None,h,0,2.493928899988532,68.2514802000951,None,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,1,Symb,i,CR,0,0,0.16001381364567457,1,1,,1,,,,,,,,,,,,74.53131240000948,None,74.53131240000948,None,75.55270540015772,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,1,0,72.07897360017523,72.07897360017523,72.07897360017523,None,73.50325810001232,None,l,0,2.376955999992788,72.07897360017523,None,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,1,Symb,i,CR,0,0,1.0802718803875886,1,1,,1,,,,,,,,,,,,76.95580350002274,None,76.95580350002274,None,77.98165720002726,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,2,0,75.78147860011086,75.78147860011086,75.78147860011086,None,76.28876380017027,None,h,0,1.107425200054422,75.78147860011086,None,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,1,Symb,i,CR,0,0,0.34095638705779496,1,1,,1,,,,,,,,,,,,81.70981619996019,None,81.70981619996019,None,82.72752990014851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,3,0,78.19500249996781,78.19500249996781,78.19500249996781,None,79.43640400003642,None,u,0,3.453278499888256,78.19500249996781,None,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,1,Symb,i,CR,0,0,0.1504508971610652,1,1,,1,,,,,,,,,,,,100.27973129996099,None,100.27973129996099,None,101.31644650013186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,4,0,82.95886450004764,82.95886450004764,82.95886450004764,None,84.40308300009929,None,h,0,17.233402100158855,82.95886450004764,None,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,5,0,5,0,,,,,,,,,,,,,,,1,Symb,i,CR,0,0,1.2961503410691364,1,1,,1,,,,,,,,,,,,102.96078129997477,None,102.96078129997477,None,103.97774000000209,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,5,0,101.53475120011717,101.53475120011717,101.53475120011717,None,101.83817000011913,None,l,0,1.3610753000248224,101.53475120011717,None,1,1,2020_Dec_04_1913,Context_Learning_new,2020.1.3,59.19026535399216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Symb,i,CR,0,0,0.01129527234532457,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,media/dnnb.png,1,6,0,,,,,,,,,,,,,,,,,,
